TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
VIVT3;51,60;3,87;17,50;1,23;0,71;42,85;14,76;9,61;11,40;13,13;1,76;0,19;1,68;-51,92;-0,85;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;122.922.718,97;41,92;2,95;-1,60;85.025.671.122,00
VIVT4;45,34;;15,38;1,08;0,62;42,85;14,76;9,61;10,02;13,13;1,76;0,19;1,48;-45,62;-0,74;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;;41,92;2,95;-1,41;85.025.671.122,00
VLID3;18,72;5,11;7,57;1,13;0,57;38,84;19,36;10,32;4,03;4,77;0,74;0,21;0,78;2,27;-1,15;2,00;14,90;7,56;14,76;0,51;0,48;0,73;3,60;48,87;8.140.983,82;16,60;2,47;0,01;1.531.976.940,00
VSPT3;4,99;;-0,32;0,37;0,11;7,78;-44,27;-67,63;-0,49;-1,03;-0,54;0,41;0,22;-2,01;-0,13;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;7,78;-44,27;-67,63;0,00;-1,03;-0,54;0,41;0,00;0,00;0,00;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSTE3;13,84;0,84;6,63;1,53;0,94;64,99;19,07;21,51;7,49;8,83;1,24;0,25;1,43;8,87;-1,39;1,48;23,13;14,12;7,46;0,61;0,39;0,66;-3,13;-10,77;66.323,50;9,02;2,09;-0,05;1.598.287.150,20
VULC3;18,24;16,64;8,87;2,52;1,79;40,55;19,67;20,41;9,21;9,23;0,02;0,01;1,81;3,30;-5,98;4,39;28,43;20,16;21,21;0,71;0,29;0,99;14,97;24,47;25.703.775,76;7,23;2,06;0,13;5.009.729.890,56
VVAR11;14,58;;-0,78;0,31;0,04;28,99;-0,55;-5,91;-8,30;-46,58;-41,99;1,58;0,05;-0,29;-0,07;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;766.373.807,94
VVAR4;95,68;;-5,09;2,05;0,28;28,99;-0,55;-5,91;-54,48;-46,58;-41,99;1,58;0,30;-1,92;-0,48;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;766.373.807,94
VVEO3;7,61;;15,18;0,79;0,25;15,90;6,01;1,50;3,78;6,24;2,50;0,52;0,23;0,81;-0,61;2,04;5,17;1,62;9,84;0,31;0,69;1,08;;;10.899.409,21;9,69;0,50;-0,36;2.430.839.178,24
WEGE3;38,83;1,63;32,80;10,11;5,42;31,56;18,80;15,70;27,39;26,99;-0,48;-0,18;5,15;16,94;-17,47;1,86;30,82;16,52;25,44;0,54;0,45;1,05;25,71;34,19;231.777.666,41;3,84;1,18;0,82;163.485.536.022,10
WEST3;1,16;;-2,08;0,47;0,35;42,07;-38,84;-29,31;-1,57;-0,09;1,50;-0,45;0,61;0,82;-0,94;3,16;-22,68;-16,91;-28,18;0,75;0,25;0,58;367,94;;73.435,15;2,46;-0,56;-0,06;129.641.029,83
WHRL3;4,48;5,30;18,90;2,63;0,71;16,27;8,15;3,24;7,51;6,73;-0,71;-0,25;0,61;11,28;-2,49;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;9.669,88;1,70;0,24;-0,55;6.673.889.491,22
WHRL4;4,53;8,27;19,11;2,66;0,72;16,27;8,15;3,24;7,60;6,73;-0,71;-0,25;0,62;11,41;-2,52;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;50.205,50;1,70;0,24;-0,56;6.673.889.491,22
WIZC3;6,46;6,89;10,62;2,25;0,45;58,84;37,07;9,26;2,65;2,93;0,26;0,22;0,98;-17,73;-0,58;0,90;21,18;4,24;22,73;0,20;0,59;0,46;12,37;-9,41;2.047.311,12;2,87;0,61;-0,28;1.039.397.333,00
WLMM3;22,81;1,75;7,86;1,24;1,01;12,97;7,04;4,99;5,58;5,28;-0,61;-0,14;0,39;2,30;-2,29;4,54;15,77;12,80;15,79;0,81;0,19;2,56;32,16;;16.774,75;18,40;2,90;-1,15;877.846.033,70
WLMM4;24,70;1,78;8,51;1,34;1,09;12,97;7,04;4,99;6,04;5,28;-0,61;-0,14;0,43;2,49;-2,48;4,54;15,77;12,80;15,79;0,81;0,19;2,56;32,16;;95.430,09;18,40;2,90;-1,24;877.846.033,70
YDUQ3;19,29;1,43;31,70;1,84;0,61;59,29;17,03;3,75;6,97;11,78;4,87;1,29;1,19;6,85;-0,82;1,52;5,81;1,92;9,55;0,33;0,67;0,51;6,20;-15,03;81.756.058,68;10,48;0,61;-0,06;5.906.687.942,61
ZAMP3;3,69;;-8,82;0,76;0,26;65,31;2,49;-3,02;10,68;18,66;7,98;0,57;0,27;38,19;-0,32;1,03;-8,65;-2,89;2,75;0,33;0,67;0,96;15,36;;4.641.281,24;4,84;-0,42;-0,16;1.016.061.599,43
